BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,MCSAYDO,REFORMER,PREVPRI,VETVOTER,REGREPRI,CHAFFEE,BEATDEM,REL5,WEIGHT
COMPLETED,RURAL/REST OF STATE,40.0,2.0,38.0,THIRD CALL,30-39,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,DEMOCRAT,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,GORE,GORE,TOO CONSERVATIVE,NEITHER,YES,NEITHER,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,1.409
COMPLETED,RURAL/REST OF STATE,40.0,2.0,39.0,THIRD CALL,40-44,FEMALE,MCCAIN,TODAY,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,40-49,INDEPENDENT/OTHER,40-49,40-49,NOT CONSERVATIVE ENOUGH,OMITS,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,1.409
COMPLETED,RURAL/REST OF STATE,40.0,2.0,40.0,THIRD CALL,45-49,MALE,MCCAIN,TODAY,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,BOTH,YES,NO,REPUBLICAN,FAVORABLE,MCCAIN,CATHOLIC,1.5
COMPLETED,RURAL/REST OF STATE,40.0,2.0,41.0,THIRD CALL,50-59,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$50,000-$74,999",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,REPUBLICAN,FAVORABLE,MCCAIN,CATHOLIC,1.409
COMPLETED,RURAL/REST OF STATE,40.0,2.0,42.0,THIRD CALL,65-74,MALE,MCCAIN,THIS YEAR,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,SOMETHING ELSE,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,YES,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,2.109
COMPLETED,RURAL/REST OF STATE,40.0,2.0,43.0,THIRD CALL,60-64,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",NO,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,1.802
COMPLETED,RURAL/REST OF STATE,40.0,2.0,44.0,THIRD CALL,65-74,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,OMITS,YES,REPUBLICAN,,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,OMITS,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,OMITS,MCCAIN,OMITS,MCCAIN,NO,NO,REPUBLICAN,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,1.98
COMPLETED,RURAL/REST OF STATE,40.0,2.0,45.0,THIRD CALL,65-74,MALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,YES,BOTH,YES,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,1.92
COMPLETED,RURAL/REST OF STATE,40.0,2.0,46.0,THIRD CALL,18-24,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,NONE,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,18-29,18-24,INDEPENDENT/OTHER,18-24,18-24,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,GORE,TOO CONSERVATIVE,NEITHER,NO,NEITHER,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,NONE,1.209
COMPLETED,RURAL/REST OF STATE,40.0,2.0,47.0,THIRD CALL,30-39,MALE,BUSH,WITHIN LAST 3 DAYS,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,OMITS,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,OMITS,NEITHER,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,1.366
COMPLETED,RURAL/REST OF STATE,40.0,2.0,48.0,THIRD CALL,50-59,MALE,BUSH,WITHIN LAST WEEK,TAXES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,TOO CONSERVATIVE,BOTH,YES,MCCAIN,YES,NO,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,1.366
COMPLETED,RURAL/REST OF STATE,40.0,2.0,49.0,THIRD CALL,60-64,FEMALE,BUSH,BEFORE THAT,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,NO,BOTH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,1.802
COMPLETED,RURAL/REST OF STATE,40.0,2.0,50.0,THIRD CALL,50-59,MALE,MCCAIN,WITHIN LAST 3 DAYS,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,YES,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,1.5
COMPLETED,RURAL/REST OF STATE,40.0,2.0,51.0,THIRD CALL,25-29,MALE,MCCAIN,BEFORE THAT,WORLD AFFAIRS,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,HIGH SCHOOL GRADUATE,CATHOLIC,"UNDER $15,000",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,DEMOCRAT,25-29,25-29,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,,FAVORABLE,MCCAIN,CATHOLIC,1.288
COMPLETED,RURAL/REST OF STATE,40.0,5.0,1.0,FIRST CALL,75+,FEMALE,BUSH,BEFORE THAT,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,OMITS,YES,TAX CUT,NO,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,ABOUT RIGHT,FAVORABLE,OMITS,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,1.587
COMPLETED,RURAL/REST OF STATE,40.0,5.0,2.0,FIRST CALL,60-64,FEMALE,BUSH,THIS YEAR,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,NEITHER,YES,NO,REPUBLICAN,OMITS,BUSH,PROTESTANT/OTHER CHRISTIAN,1.587
COMPLETED,RURAL/REST OF STATE,40.0,5.0,3.0,FIRST CALL,30-39,FEMALE,BUSH,THIS YEAR,TAXES,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BUSH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,1.129
NOT COMPLETED,RURAL/REST OF STATE,40.0,5.0,4.0,FIRST CALL,65-74,FEMALE,BUSH,THIS YEAR,WORLD AFFAIRS,REPRESENTS CONSERVATIVE VALUES,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,65+,18-74,STATE,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,YES,OMITS,YES,,REPUBLICAN,FAVORABLE,OMITS,,1.587
COMPLETED,RURAL/REST OF STATE,40.0,5.0,5.0,FIRST CALL,45-49,FEMALE,BUSH,THIS YEAR,EDUCATION,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,YES,BOTH,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,1.129
COMPLETED,RURAL/REST OF STATE,40.0,5.0,6.0,FIRST CALL,50-59,FEMALE,MCCAIN,THIS YEAR,OMITS,STANDS UP FOR BELIEFS,OMITS,OMITS,LEGAL IN ALL CASES,YES,OMITS,OMITS,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$100,000 OR MORE",OMITS,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,OMITS,FAVORABLE,FAVORABLE,OMITS,MCCAIN,OMITS,MCCAIN,YES,OMITS,NO,,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,1.24
COMPLETED,RURAL/REST OF STATE,40.0,5.0,7.0,FIRST CALL,65-74,MALE,BUSH,BEFORE THAT,OMITS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,OMITS,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,OMITS,BUSH,MCCAIN,OMITS,OMITS,OMITS,OMITS,YES,YES,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,1.691
COMPLETED,RURAL/REST OF STATE,40.0,5.0,8.0,FIRST CALL,50-59,MALE,MCCAIN,WITHIN LAST WEEK,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,YES,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,MCCAIN,CATHOLIC,1.321
COMPLETED,RURAL/REST OF STATE,40.0,5.0,9.0,FIRST CALL,50-59,MALE,BUSH,BEFORE THAT,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,NO,BOTH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,1.202
NOT COMPLETED,RURAL/REST OF STATE,40.0,5.0,10.0,FIRST CALL,65-74,MALE,BUSH,BEFORE THAT,TAXES,REPRESENTS CONSERVATIVE VALUES,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,65+,18-74,STATE,60+,60+,,65+,65-74,OMITS,OMITS,OMITS,BUSH,MCCAIN,OMITS,OMITS,NO,OMITS,YES,,REPUBLICAN,FAVORABLE,OMITS,,1.691
COMPLETED,RURAL/REST OF STATE,40.0,5.0,11.0,FIRST CALL,45-49,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,,YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,NO,REPUBLICAN,UNFAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,1.321
COMPLETED,RURAL/REST OF STATE,40.0,5.0,12.0,FIRST CALL,45-49,MALE,MCCAIN,TODAY,WORLD AFFAIRS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,MCCAIN,YES,NO,REPUBLICAN,OMITS,MCCAIN,CATHOLIC,1.321
COMPLETED,RURAL/REST OF STATE,40.0,5.0,13.0,FIRST CALL,30-39,MALE,MCCAIN,WITHIN LAST 3 DAYS,EDUCATION,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,NEITHER,YES,NO,REPUBLICAN,FAVORABLE,BUSH,CATHOLIC,1.321
COMPLETED,RURAL/REST OF STATE,40.0,5.0,14.0,FIRST CALL,65-74,FEMALE,MCCAIN,THIS YEAR,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,YES,BOTH,YES,NO,REPUBLICAN,FAVORABLE,MCCAIN,CATHOLIC,1.743
COMPLETED,RURAL/REST OF STATE,40.0,5.0,15.0,FIRST CALL,65-74,FEMALE,BUSH,BEFORE THAT,SOCIAL SECURITY/MEDICARE,CAN WIN IN NOVEMBER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,BUSH,CATHOLIC,1.587
COMPLETED,RURAL/REST OF STATE,40.0,5.0,16.0,FIRST CALL,60-64,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,REPUBLICAN,FAVORABLE,MCCAIN,CATHOLIC,1.743
COMPLETED,RURAL/REST OF STATE,40.0,5.0,17.0,SECOND CALL,30-39,MALE,MCCAIN,BEFORE THAT,OMITS,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,POST GRADUATE STUDY,CATHOLIC,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,NO,NO,UNAFFILIATED/INDEPENDENT,OMITS,MCCAIN,CATHOLIC,1.321
COMPLETED,RURAL/REST OF STATE,40.0,5.0,18.0,SECOND CALL,75+,MALE,MCCAIN,BEFORE THAT,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,DEMOCRAT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,DEMOCRAT,65+,75+,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,NO,YES,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,MCCAIN,CATHOLIC,1.856
COMPLETED,RURAL/REST OF STATE,40.0,5.0,19.0,SECOND CALL,60-64,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,OMITS,NO,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,OMITS,CATHOLIC,1.743
COMPLETED,RURAL/REST OF STATE,40.0,5.0,20.0,SECOND CALL,18-24,MALE,MCCAIN,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,NONE,"$100,000 OR MORE",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,NEITHER,YES,NO,UNAFFILIATED/INDEPENDENT,FAVORABLE,MCCAIN,NONE,1.1340000000000001
COMPLETED,RURAL/REST OF STATE,40.0,5.0,21.0,SECOND CALL,50-59,FEMALE,BUSH,BEFORE THAT,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$15,000-$29,000",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,BOTH,YES,BOTH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,1.129
COMPLETED,RURAL/REST OF STATE,40.0,5.0,22.0,SECOND CALL,40-44,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$100,000 OR MORE",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,40-49,REPUBLICAN,40-49,40-49,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,NO,MCCAIN,YES,NO,REPUBLICAN,UNFAVORABLE,MCCAIN,PROTESTANT/OTHER CHRISTIAN,1.24
COMPLETED,RURAL/REST OF STATE,40.0,5.0,23.0,SECOND CALL,60-64,FEMALE,BUSH,THIS YEAR,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,YES,ILLEGAL IN MOST CASES,YES,TAX CUT,OMITS,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,YES,BUSH,YES,NO,UNAFFILIATED/INDEPENDENT,UNFAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,1.587
COMPLETED,RURAL/REST OF STATE,40.0,5.0,24.0,SECOND CALL,75+,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,OMITS,YES,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,ABOUT RIGHT,FAVORABLE,OMITS,BUSH,MCCAIN,OMITS,BUSH,OMITS,BUSH,YES,NO,REPUBLICAN,FAVORABLE,BUSH,PROTESTANT/OTHER CHRISTIAN,1.587
