MCRRIGHT,HISPANIC,BACKSIDE,GEOCODE,STATE,PREC,SEQ,CALL,AGE9,SEX,REPVOTE,TIME,ISSUE,QUALITY,ISSVQUAL,RELRIGHT,ABORTION,BUSHKNOW,SSTAX,BUSHUNFR,PARTYID,EDUC,RELIGION,INCOME,MCAIUNFR,IDEOLOGY,PHIL3,OVER65,OVER75,QTYPE,AGE4,AGEABC,PARTY,AGE65,AGE75,GWCONSRV,BUSH,MCCAIN,GOREBUSH,GOREMCAN,MCCONSRV,STR8TALK,REFORMER,PREVPRI,VETVOTER,BEATDEM,REL5,HILLARY,GIULIANI,BUSHPATA,CDAREA,CDPAST,WEIGHT
NOT MUCH,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,34.0,SECOND CALL,65-74,FEMALE,MCCAIN,TODAY,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"UNDER $15,000",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,GORE,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,1.191
NOT AT ALL,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,35.0,SECOND CALL,45-49,MALE,BUSH,BEFORE THAT,TAXES,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,YES,SOMETHING ELSE,HIGH SCHOOL GRADUATE,NONE,"$30,000-$49,000",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,TOO CONSERVATIVE,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,BOTH,YES,YES,BUSH,NONE,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,HI REP,1.188
NOT AT ALL,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,36.0,SECOND CALL,50-59,FEMALE,BUSH,TODAY,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,SOMEWHAT,UPSTATE RURAL,HI REP,1.143
NOT MUCH,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,37.0,SECOND CALL,50-59,MALE,BUSH,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,PROTESTANT,"UNDER $15,000",YES,VERY CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,REPUBLICAN,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,UPSTATE RURAL,HI REP,1.188
SOMEWHAT,NO,COMPLETED,RURAL UPSTATE,33.0,5.0,38.0,SECOND CALL,50-59,FEMALE,BUSH,THIS YEAR,SOCIAL SECURITY/MEDICARE,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,YES,INDEPENDENT,COLLEGE GRADUATE,PROTESTANT,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,UPSTATE RURAL,HI REP,1.143
NOT MUCH,NO,COMPLETED,NEW YORK CITY,33.0,6.0,1.0,SECOND CALL,60-64,MALE,MORE THAN ONE CANDIDATE,THIS YEAR,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,OMITS,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,OMITS,INDEPENDENT,HIGH SCHOOL GRADUATE,OTHER CHRISTIAN,"$30,000-$49,000",OMITS,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,BOTH,OMITS,YES,YES,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,SOMEWHAT,NYC HIGH MINORITY,LO REP,3.74
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,7.0,1.0,SECOND CALL,75+,FEMALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,NO,,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$15,000-$29,000",NO,,,65+,75+,STATE,60+,60+,,65+,75+,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,OMITS,YES,NO,MCCAIN,CATHOLIC,FAVORABLE,UNFAVORABLE,NOT AT ALL,NYC HIGH MINORITY,LO REP,0.07100000000000001
GREAT DEAL,YES,COMPLETED,NEW YORK CITY,33.0,7.0,2.0,SECOND CALL,65-74,FEMALE,BUSH,TODAY,SOCIAL SECURITY/MEDICARE,STRONG LEADER,CANDS PERSONAL QUALITIES,YES,LEGAL IN MOST CASES,YES,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,PROTESTANT,"UNDER $15,000",YES,SOMEWHAT LIBERAL,LIBERAL,65+,18-74,STATE,60+,60+,REPUBLICAN,65+,65-74,OMITS,FAVORABLE,FAVORABLE,GORE,GORE,ABOUT RIGHT,BOTH,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,UNFAVORABLE,GREAT DEAL,NYC HIGH MINORITY,LO REP,0.111
NOT MUCH,YES,COMPLETED,NEW YORK CITY,33.0,7.0,3.0,THIRD CALL,18-24,MALE,BUSH,BEFORE THAT,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,18-24,REPUBLICAN,18-24,18-24,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,NO,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,UNFAVORABLE,NOT AT ALL,NYC HIGH MINORITY,LO REP,0.099
NOT MUCH,YES,COMPLETED,NEW YORK CITY,33.0,7.0,4.0,THIRD CALL,25-29,MALE,BUSH,TODAY,MORAL VALUES,CAN WIN IN NOVEMBER,OMITS,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"UNDER $15,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,18-29,25-29,INDEPENDENT/OTHER,25-29,25-29,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC HIGH MINORITY,LO REP,0.099
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,8.0,1.0,FIRST CALL,45-49,FEMALE,BUSH,WITHIN LAST WEEK,MORAL VALUES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,OMITS,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,,COLLEGE GRADUATE,CATHOLIC,,YES,,,18-64,18-74,STATE,45-59,40-49,,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BUSH,OMITS,NO,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC LOW MINORITY,MID LO REP,0.107
NOT MUCH,YES,COMPLETED,NEW YORK CITY,33.0,8.0,2.0,FIRST CALL,30-39,MALE,BUSH,THIS YEAR,TAXES,CAN WIN IN NOVEMBER,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$75,000-$99,999",YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,MCCAIN,BOTH,YES,YES,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC LOW MINORITY,MID LO REP,0.12
GREAT DEAL,NO,COMPLETED,NEW YORK CITY,33.0,8.0,3.0,SECOND CALL,75+,FEMALE,MCCAIN,BEFORE THAT,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",YES,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,NOT CONSERVATIVE ENOUGH,FAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,,NO,MCCAIN,CATHOLIC,OMITS,FAVORABLE,OMITS,NYC LOW MINORITY,MID LO REP,0.083
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,8.0,4.0,SECOND CALL,65-74,MALE,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,HIGH SCHOOL GRADUATE,CATHOLIC,"$15,000-$29,000",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,INDEPENDENT/OTHER,65+,65-74,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,,YES,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,NYC LOW MINORITY,MID LO REP,0.085
NOT AT ALL,YES,COMPLETED,NEW YORK CITY,33.0,8.0,5.0,SECOND CALL,45-49,MALE,BUSH,TODAY,ABORTION,NOT TYPICAL POLITICIAN,CANDS POSITIONS ON ISSUES,OMITS,OMITS,YES,OMITS,NO,,,,,OMITS,,,18-64,18-74,STATE,45-59,40-49,,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,OMITS,OMITS,NO,YES,MCCAIN,,UNFAVORABLE,FAVORABLE,GREAT DEAL,NYC LOW MINORITY,MID LO REP,0.12
NOT MUCH,NO,COMPLETED,NEW YORK CITY,33.0,8.0,6.0,SECOND CALL,60-64,FEMALE,MCCAIN,WITHIN LAST WEEK,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,TAX CUT,YES,INDEPENDENT,POST GRADUATE STUDY,SOMETHING ELSE,"$50,000-$74,999",YES,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,60+,60+,INDEPENDENT/OTHER,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,GORE,ABOUT RIGHT,MCCAIN,NEITHER,YES,NO,MCCAIN,SOMETHING ELSE,FAVORABLE,UNFAVORABLE,GREAT DEAL,NYC LOW MINORITY,MID LO REP,0.083
SOMEWHAT,NO,COMPLETED,NEW YORK CITY,33.0,8.0,7.0,SECOND CALL,45-49,MALE,BUSH,TODAY,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,40-49,,40-49,40-49,OMITS,FAVORABLE,FAVORABLE,BUSH,MCCAIN,OMITS,OMITS,OMITS,YES,,OMITS,,UNFAVORABLE,UNFAVORABLE,GREAT DEAL,NYC LOW MINORITY,MID LO REP,0.109
SOMEWHAT,NO,COMPLETED,NEW YORK CITY,33.0,8.0,8.0,SECOND CALL,60-64,FEMALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,OMITS,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,GREAT DEAL,NYC LOW MINORITY,MID LO REP,0.083
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,8.0,9.0,SECOND CALL,50-59,MALE,MCCAIN,THIS YEAR,MORAL VALUES,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$50,000-$74,999",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,50-59,INDEPENDENT/OTHER,50-64,50-64,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC LOW MINORITY,MID LO REP,0.076
SOMEWHAT,NO,COMPLETED,NEW YORK CITY,33.0,8.0,10.0,SECOND CALL,75+,MALE,BUSH,WITHIN LAST WEEK,TAXES,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,CATHOLIC,,YES,SOMEWHAT CONSERVATIVE,CONSERVATIVE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,OMITS,NOT CONSERVATIVE ENOUGH,BUSH,BUSH,YES,,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,SOMEWHAT,NYC LOW MINORITY,MID LO REP,0.121
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,8.0,11.0,THIRD CALL,45-49,MALE,BUSH,THIS YEAR,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,YES,ILLEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,PROTESTANT,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,INDEPENDENT/OTHER,40-49,40-49,OMITS,FAVORABLE,OMITS,BUSH,MCCAIN,OMITS,BOTH,BOTH,YES,NO,MCCAIN,PROTESTANT/OTHER CHRISTIAN,FAVORABLE,FAVORABLE,SOMEWHAT,NYC LOW MINORITY,MID LO REP,0.109
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,8.0,12.0,THIRD CALL,75+,MALE,MCCAIN,WITHIN LAST WEEK,SOCIAL SECURITY/MEDICARE,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,SOMEWHAT,NYC LOW MINORITY,MID LO REP,0.085
NOT MUCH,YES,COMPLETED,NEW YORK CITY,33.0,8.0,13.0,THIRD CALL,75+,,MCCAIN,THIS YEAR,SOCIAL SECURITY/MEDICARE,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,TAX CUT,NO,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,INDEPENDENT/OTHER,65+,75+,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,OMITS,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,MCCAIN,YES,NO,MCCAIN,CATHOLIC,FAVORABLE,UNFAVORABLE,NOT AT ALL,NYC LOW MINORITY,MID LO REP,0.093
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,8.0,14.0,THIRD CALL,45-49,MALE,BUSH,THIS YEAR,TAXES,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,YES,TAX CUT,NO,REPUBLICAN,POST GRADUATE STUDY,PROTESTANT,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,ABOUT RIGHT,FAVORABLE,FAVORABLE,BUSH,MCCAIN,NOT CONSERVATIVE ENOUGH,BOTH,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,SOMEWHAT,NYC LOW MINORITY,MID LO REP,0.109
OMITS,,COMPLETED,NEW YORK CITY,33.0,8.0,15.0,THIRD CALL,,,MCCAIN,OMITS,OMITS,OMITS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN MOST CASES,OMITS,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,SOME COLLEGE OR ASSOCIATES,,"$100,000 OR MORE",YES,MODERATE,MODERATE,,,STATE,,,INDEPENDENT/OTHER,,,TOO CONSERVATIVE,UNFAVORABLE,UNFAVORABLE,OMITS,OMITS,TOO CONSERVATIVE,NEITHER,NEITHER,,NO,MCCAIN,,OMITS,OMITS,OMITS,NYC LOW MINORITY,MID LO REP,0.074
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,9.0,1.0,FIRST CALL,25-29,MALE,MCCAIN,WITHIN LAST 3 DAYS,WORLD AFFAIRS,STRONG LEADER,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,POST GRADUATE STUDY,JEWISH,"$75,000-$99,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,18-29,25-29,REPUBLICAN,25-29,25-29,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,TOO CONSERVATIVE,MCCAIN,MCCAIN,NO,NO,MCCAIN,JEWISH,UNFAVORABLE,UNFAVORABLE,NOT AT ALL,NYC HIGH MINORITY,LO REP,0.527
NOT MUCH,NO,COMPLETED,NEW YORK CITY,33.0,9.0,2.0,FIRST CALL,75+,MALE,MORE THAN ONE CANDIDATE,WITHIN LAST 3 DAYS,SOCIAL SECURITY/MEDICARE,OMITS,CANDS POSITIONS ON ISSUES,NO,LEGAL IN ALL CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,JEWISH,"$50,000-$74,999",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,UNFAVORABLE,GORE,GORE,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,YES,YES,OMITS,JEWISH,FAVORABLE,UNFAVORABLE,NOT MUCH,NYC HIGH MINORITY,LO REP,0.7020000000000001
SOMEWHAT,NO,COMPLETED,NEW YORK CITY,33.0,9.0,3.0,SECOND CALL,45-49,MALE,MCCAIN,WITHIN LAST 3 DAYS,WORLD AFFAIRS,STRONG LEADER,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,COLLEGE GRADUATE,JEWISH,"$50,000-$74,999",NO,MODERATE,MODERATE,18-64,18-74,STATE,45-59,40-49,REPUBLICAN,40-49,40-49,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,NOT CONSERVATIVE ENOUGH,NEITHER,NEITHER,YES,NO,MCCAIN,JEWISH,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC HIGH MINORITY,LO REP,0.544
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,9.0,4.0,SECOND CALL,65-74,MALE,MCCAIN,THIS YEAR,OMITS,OMITS,CANDS PERSONAL QUALITIES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,DEMOCRAT,DID NOT COMPLETE HIGH SCHOOL,CATHOLIC,"$100,000 OR MORE",NO,MODERATE,MODERATE,65+,18-74,STATE,60+,60+,DEMOCRAT,65+,65-74,NOT CONSERVATIVE ENOUGH,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,YES,YES,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC HIGH MINORITY,LO REP,0.605
NOT AT ALL,,COMPLETED,NEW YORK CITY,33.0,9.0,5.0,SECOND CALL,30-39,FEMALE,BUSH,BEFORE THAT,OMITS,REPRESENTS CONSERVATIVE VALUES,CANDS POSITIONS ON ISSUES,OMITS,OMITS,YES,OMITS,OMITS,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,OTHER CHRISTIAN,"$100,000 OR MORE",OMITS,VERY LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,ABOUT RIGHT,FAVORABLE,OMITS,BUSH,MCCAIN,ABOUT RIGHT,BUSH,BOTH,YES,NO,BUSH,PROTESTANT/OTHER CHRISTIAN,UNFAVORABLE,FAVORABLE,NOT MUCH,NYC HIGH MINORITY,LO REP,0.759
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,9.0,6.0,SECOND CALL,60-64,FEMALE,BUSH,TODAY,MORAL VALUES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,YES,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,NO,REPUBLICAN,HIGH SCHOOL GRADUATE,CATHOLIC,"$15,000-$29,000",NO,SOMEWHAT CONSERVATIVE,CONSERVATIVE,18-64,18-74,STATE,60+,60+,REPUBLICAN,50-64,50-64,ABOUT RIGHT,FAVORABLE,UNFAVORABLE,BUSH,GORE,ABOUT RIGHT,BOTH,NEITHER,YES,NO,BUSH,CATHOLIC,UNFAVORABLE,FAVORABLE,GREAT DEAL,NYC HIGH MINORITY,LO REP,0.844
SOMEWHAT,NO,COMPLETED,NEW YORK CITY,33.0,9.0,7.0,SECOND CALL,30-39,FEMALE,MCCAIN,WITHIN LAST WEEK,ABORTION,STANDS UP FOR BELIEFS,CANDS PERSONAL QUALITIES,NO,LEGAL IN ALL CASES,NO,TAX CUT,YES,REPUBLICAN,COLLEGE GRADUATE,NONE,"$100,000 OR MORE",NO,SOMEWHAT LIBERAL,LIBERAL,18-64,18-74,STATE,30-44,30-39,REPUBLICAN,30-39,30-39,TOO CONSERVATIVE,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,NONE,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC HIGH MINORITY,LO REP,0.532
NOT AT ALL,NO,COMPLETED,NEW YORK CITY,33.0,9.0,8.0,SECOND CALL,75+,FEMALE,MCCAIN,THIS YEAR,TAXES,STANDS UP FOR BELIEFS,CANDS POSITIONS ON ISSUES,NO,ILLEGAL IN MOST CASES,NO,STRENGTHEN SOCIAL SECURITY,YES,REPUBLICAN,SOME COLLEGE OR ASSOCIATES,CATHOLIC,"$30,000-$49,000",NO,MODERATE,MODERATE,65+,75+,STATE,60+,60+,REPUBLICAN,65+,75+,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,BUSH,MCCAIN,ABOUT RIGHT,NEITHER,MCCAIN,YES,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT AT ALL,NYC HIGH MINORITY,LO REP,0.591
NOT MUCH,NO,NOT COMPLETED,NEW YORK CITY,33.0,9.0,9.0,SECOND CALL,50-59,MALE,MCCAIN,WITHIN LAST 3 DAYS,CAMPAIGN FINANCE REFORM,STANDS UP FOR BELIEFS,OMITS,OMITS,OMITS,YES,OMITS,OMITS,,,,,OMITS,,,18-64,18-74,STATE,45-59,50-59,,50-64,50-64,OMITS,OMITS,OMITS,GORE,GORE,OMITS,OMITS,OMITS,NO,,OMITS,,FAVORABLE,UNFAVORABLE,NOT MUCH,NYC HIGH MINORITY,LO REP,0.544
SOMEWHAT,NO,COMPLETED,NEW YORK CITY,33.0,9.0,10.0,SECOND CALL,30-39,MALE,MCCAIN,THIS YEAR,CAMPAIGN FINANCE REFORM,NOT TYPICAL POLITICIAN,CANDS PERSONAL QUALITIES,NO,LEGAL IN MOST CASES,YES,STRENGTHEN SOCIAL SECURITY,YES,INDEPENDENT,COLLEGE GRADUATE,CATHOLIC,"$50,000-$74,999",YES,MODERATE,MODERATE,18-64,18-74,STATE,30-44,30-39,INDEPENDENT/OTHER,30-39,30-39,ABOUT RIGHT,UNFAVORABLE,FAVORABLE,GORE,MCCAIN,ABOUT RIGHT,MCCAIN,MCCAIN,NO,NO,MCCAIN,CATHOLIC,UNFAVORABLE,FAVORABLE,NOT MUCH,NYC HIGH MINORITY,LO REP,0.544
